"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","10","3.7","0","10","0","0"
"1","1","1","0","0","9.8","3.7","0","9.8","0","0"
"1","1","2","0","0","9.4","4.5","0","9.4","0","0"
"1","1","3","0","0","9","4.5","0","9","0","0"
"1","1","4","0","0","8.9","5.2","0","8.9","0","0"
"1","1","5","0","0","8.9","6.7","0","8.9","0","0"
"1","1","6","0","0","9","8.2","0","9","0","0"
"1","1","7","13","16","9.3","9.7","18.74","8.627","98.786","66.368"
"1","1","8","70","69","9.8","10.4","107.807","10.286","573.976","532.022"
"1","1","9","142","113","10.4","11.9","207.753","12.039","1110.405","1056.003"
"1","1","10","204","143","10.9","11.9","308.373","13.745","1646.282","1577.665"
"1","1","11","238","158","11.3","11.9","362.084","14.816","1928.005","1851.201"
"1","1","12","235","157","11.8","11.2","357.627","15.449","1898.556","1822.631"
"1","1","13","194","139","11.8","9.7","294.274","15","1561.3","1495.056"
"1","1","14","129","106","11.5","6.7","189.78","13.817","1004.943","953.129"
"1","1","15","58","60","11","3.7","91.258","11.878","481.531","441.541"
"1","1","16","7","9","10","2.2","10.274","8.549","54.163","22.568"
"1","1","17","0","0","8.7","0.7","0","8.7","0","0"
"1","1","18","0","0","7","0","0","7","0","0"
"1","1","19","0","0","5.9","0","0","5.9","0","0"
"1","1","20","0","0","4.9","0","0","4.9","0","0"
"1","1","21","0","0","4","0","0","4","0","0"
"1","1","22","0","0","4","0.7","0","4","0","0"
"1","1","23","0","0","4.4","1.5","0","4.4","0","0"
"1","2","0","0","0","5.4","2.2","0","5.4","0","0"
"1","2","1","0","0","5.8","2.2","0","5.8","0","0"
"1","2","2","0","0","6.1","1.5","0","6.1","0","0"
"1","2","3","0","0","6.4","0","0","6.4","0","0"
"1","2","4","0","0","6.4","0","0","6.4","0","0"
"1","2","5","0","0","6.3","0.7","0","6.3","0","0"
"1","2","6","0","0","6","1.5","0","6","0","0"
"1","2","7","10","17","7.5","1.5","19.152","5.749","103.309","70.806"
"1","2","8","59","74","9.8","0.7","104.069","10.86","554.406","512.872"
"1","2","9","121","122","13","0","206.456","19.956","1066.758","1013.435"
"1","2","10","177","155","14.7","0","294.368","26.073","1485.952","1421.774"
"1","2","11","208","171","16","0.7","355.475","27.489","1786.142","1713.522"
"1","2","12","205","169","17","2.2","350.053","25.539","1774.974","1702.678"
"1","2","13","169","150","16.9","2.2","281.195","23.633","1435.115","1372.312"
"1","2","14","111","115","16","1.5","190.783","20.715","981.317","930.074"
"1","2","15","49","65","14.4","0","88.956","17.464","459.504","419.975"
"1","2","16","6","11","13.1","0","11.959","10.815","63.137","31.378"
"1","2","17","0","0","11.7","0","0","11.7","0","0"
"1","2","18","0","0","10","0","0","10","0","0"
"1","2","19","0","0","9.2","0","0","9.2","0","0"
"1","2","20","0","0","8.6","0","0","8.6","0","0"
"1","2","21","0","0","8.4","0","0","8.4","0","0"
"1","2","22","0","0","8.6","0.7","0","8.6","0","0"
"1","2","23","0","0","9.1","1.5","0","9.1","0","0"
"1","3","0","0","0","10","2.2","0","10","0","0"
"1","3","1","0","0","10.3","3","0","10.3","0","0"
"1","3","2","0","0","10.5","3","0","10.5","0","0"
"1","3","3","0","0","10.6","3","0","10.6","0","0"
"1","3","4","0","0","11","3.7","0","11","0","0"
"1","3","5","0","0","11.4","5.2","0","11.4","0","0"
"1","3","6","0","0","12","7.4","0","12","0","0"
"1","3","7","9","18","12.6","8.2","20.094","11.899","105.991","73.439"
"1","3","8","51","77","13.2","8.2","104.507","13.743","551.311","509.843"
"1","3","9","109","127","13.8","8.2","205.556","15.898","1083.056","1029.332"
"1","3","10","161","161","14.4","8.9","290.555","17.652","1525.802","1460.536"
"1","3","11","190","178","15.1","8.9","339.822","19.109","1775.897","1703.575"
"1","3","12","187","177","15.8","9.7","335.81","19.572","1751.05","1679.446"
"1","3","13","154","157","15.9","8.2","279.614","19.304","1456.794","1393.407"
"1","3","14","100","120","15.8","5.2","190.809","18.599","992.341","940.832"
"1","3","15","44","69","15.4","0.7","92.004","17.284","477.161","437.263"
"1","3","16","5","12","14.5","0","12.684","12.331","66.966","35.136"
"1","3","17","0","0","13.2","0","0","13.2","0","0"
"1","3","18","0","0","11.6","1.5","0","11.6","0","0"
"1","3","19","0","0","11.4","3","0","11.4","0","0"
"1","3","20","0","0","11.8","4.5","0","11.8","0","0"
"1","3","21","0","0","12.8","6.7","0","12.8","0","0"
"1","3","22","0","0","12.2","6.7","0","12.2","0","0"
"1","3","23","0","0","11.2","5.2","0","11.2","0","0"
"1","4","0","0","0","9.6","3","0","9.6","0","0"
"1","4","1","0","0","9.1","2.2","0","9.1","0","0"
"1","4","2","0","0","8.8","1.5","0","8.8","0","0"
"1","4","3","0","0","8.8","1.5","0","8.8","0","0"
"1","4","4","0","0","8.4","0.7","0","8.4","0","0"
"1","4","5","0","0","8","0.7","0","8","0","0"
"1","4","6","0","0","7.6","0","0","7.6","0","0"
"1","4","7","10","17","8.4","0","19.136","5.184","103.457","70.952"
"1","4","8","58","74","9.8","0","103.511","10.9","551.433","509.963"
"1","4","9","120","122","11.8","0.7","205.729","17.109","1076.956","1023.382"
"1","4","10","176","156","12.4","2.2","294.87","19.031","1538.13","1472.526"
"1","4","11","208","173","12.5","4.5","358.082","19.042","1871.682","1796.555"
"1","4","12","205","171","12.2","6.7","352.834","17.293","1858.813","1784.066"
"1","4","13","170","152","12","6.7","284.628","15.958","1504.992","1440.296"
"1","4","14","112","117","11.6","6.7","193.933","13.976","1028.842","976.447"
"1","4","15","50","67","11","5.2","91.651","11.701","486.092","446.007"
"1","4","16","6","12","10.4","5.2","12.929","9.414","68.84","36.976"
"1","4","17","0","0","9.8","4.5","0","9.8","0","0"
"1","4","18","0","0","9","4.5","0","9","0","0"
"1","4","19","0","0","8.6","4.5","0","8.6","0","0"
"1","4","20","0","0","8.2","5.2","0","8.2","0","0"
"1","4","21","0","0","8","5.9","0","8","0","0"
"1","4","22","0","0","7.4","5.9","0","7.4","0","0"
"1","4","23","0","0","6.8","5.9","0","6.8","0","0"
"1","5","0","0","0","6","5.2","0","6","0","0"
"1","5","1","0","0","5.6","4.5","0","5.6","0","0"
"1","5","2","0","0","5.2","3.7","0","5.2","0","0"
"1","5","3","0","0","5","3","0","5","0","0"
"1","5","4","0","0","4.8","3","0","4.8","0","0"
"1","5","5","0","0","4.7","3","0","4.7","0","0"
"1","5","6","0","0","4.6","3","0","4.6","0","0"
"1","5","7","7","19","4.6","3","20.795","3.243","114.659","81.945"
"1","5","8","43","81","4.8","3.7","106.196","5.567","582.5","540.362"
"1","5","9","93","133","5","3.7","203.516","8.237","1110.9","1056.486"
"1","5","10","140","169","5.5","5.2","285.702","9.907","1554.161","1488.114"
"1","5","11","167","187","6.2","7.4","333.634","10.548","1812.628","1739.237"
"1","5","12","166","186","7","9.7","331.307","10.628","1799.222","1726.221"
"1","5","13","136","166","7.1","9.7","278.492","10.037","1513.699","1448.765"
"1","5","14","87","127","7","8.2","184.756","8.89","1004.758","952.948"
"1","5","15","37","74","6.6","5.2","95.347","7.318","518.92","478.142"
"1","5","16","4","13","6","4.5","13.411","4.906","73.571","41.62"
"1","5","17","0","0","5.1","3.7","0","5.1","0","0"
"1","5","18","0","0","4","3.7","0","4","0","0"
"1","5","19","0","0","3.5","4.5","0","3.5","0","0"
"1","5","20","0","0","3.2","5.9","0","3.2","0","0"
"1","5","21","0","0","3","7.4","0","3","0","0"
"1","5","22","0","0","2.4","7.4","0","2.4","0","0"
"1","5","23","0","0","1.8","6.7","0","1.8","0","0"
"1","6","0","0","0","1","5.9","0","1","0","0"
"1","6","1","0","0","0.8","6.7","0","0.8","0","0"
"1","6","2","0","0","0.9","8.2","0","0.9","0","0"
"1","6","3","0","0","1.2","9.7","0","1.2","0","0"
"1","6","4","0","0","1.2","10.4","0","1.2","0","0"
"1","6","5","0","0","1.1","10.4","0","1.1","0","0"
"1","6","6","0","0","1","9.7","0","1","0","0"
"1","6","7","0","17","0.8","9.7","16.117","0.068","91.905","59.615"
"1","6","8","0","80","0.5","9.7","82.385","0.63","468.675","428.954"
"1","6","9","16","132","0.2","9.7","143.378","1.168","812.083","764.823"
"1","6","10","34","168","0.7","9.7","202.197","2.476","1139.423","1084.297"
"1","6","11","45","186","1.6","10.4","231.324","3.695","1297.308","1238.151"
"1","6","12","45","185","2.8","10.4","230.123","4.904","1283.868","1225.059"
"1","6","13","32","165","3.3","10.4","197.312","4.998","1099.959","1045.816"
"1","6","14","14","127","3.6","10.4","136.845","4.527","764.128","717.965"
"1","6","15","0","73","3.8","10.4","74.842","3.919","419.859","381.15"
"1","6","16","0","12","3.8","9.7","11.365","3.057","63.991","32.216"
"1","6","17","0","0","3.7","8.9","0","3.7","0","0"
"1","6","18","0","0","3.4","7.4","0","3.4","0","0"
"1","6","19","0","0","3.3","6.7","0","3.3","0","0"
"1","6","20","0","0","3.1","6.7","0","3.1","0","0"
"1","6","21","0","0","3","6.7","0","3","0","0"
"1","6","22","0","0","2.8","5.9","0","2.8","0","0"
"1","6","23","0","0","2.6","5.9","0","2.6","0","0"
"1","7","0","0","0","2.4","5.2","0","2.4","0","0"
"1","7","1","0","0","2.2","5.2","0","2.2","0","0"
"1","7","2","0","0","1.9","5.2","0","1.9","0","0"
"1","7","3","0","0","1.6","5.9","0","1.6","0","0"
"1","7","4","0","0","1.2","5.2","0","1.2","0","0"
"1","7","5","0","0","0.8","3.7","0","0.8","0","0"
"1","7","6","0","0","0.4","2.2","0","0.4","0","0"
"1","7","7","7","19","0","3","20.765","-1.411","116.753","84"
"1","7","8","44","81","-0.4","4.5","106.399","0.277","596.698","554.252"
"1","7","9","96","133","-0.8","6.7","205.057","1.476","1152.064","1096.621"
"1","7","10","144","169","-0.4","8.2","288.412","2.892","1617.132","1549.335"
"1","7","11","172","187","0.4","8.9","337.502","4.259","1884.407","1808.903"
"1","7","12","171","187","1.6","9.7","336.481","5.263","1870.556","1795.461"
"1","7","13","141","166","1.8","9.7","282.124","4.755","1569.033","1502.575"
"1","7","14","91","128","1.6","9.7","195.616","3.39","1089.743","1035.854"
"1","7","15","40","75","1.2","8.9","97.407","1.683","542.746","501.461"
"1","7","16","5","15","0.8","8.9","15.635","0.081","87.434","55.227"
"1","7","17","0","0","0.4","8.2","0","0.4","0","0"
"1","7","18","0","0","-0.2","8.2","0","-0.2","0","0"
"1","7","19","0","0","-0.3","7.4","0","-0.3","0","0"
"1","7","20","0","0","-0.2","7.4","0","-0.2","0","0"
"1","7","21","0","0","0","6.7","0","0","0","0"
"1","7","22","0","0","-0.1","6.7","0","-0.1","0","0"
"1","7","23","0","0","-0.3","5.9","0","-0.3","0","0"
"1","8","0","0","0","-0.6","5.9","0","-0.6","0","0"
"1","8","1","0","0","-0.4","5.2","0","-0.4","0","0"
"1","8","2","0","0","0","4.5","0","0","0","0"
"1","8","3","0","0","0.6","3.7","0","0.6","0","0"
"1","8","4","0","0","0.9","4.5","0","0.9","0","0"
"1","8","5","0","0","1.1","5.2","0","1.1","0","0"
"1","8","6","0","0","1.2","6.7","0","1.2","0","0"
"1","8","7","2","20","1.4","7.4","19.738","0.577","111.636","78.978"
"1","8","8","22","87","1.6","7.4","104.998","2.104","588.893","546.616"
"1","8","9","57","143","1.8","7.4","187.219","3.667","1045.364","992.566"
"1","8","10","92","182","2.3","8.2","258.87","5.161","1439.536","1376.614"
"1","8","11","112","202","2.9","8.2","310.701","6.58","1719.218","1648.529"
"1","8","12","111","201","3.6","8.9","308.626","7.096","1703.89","1633.639"
"1","8","13","89","179","3.9","8.9","252.993","6.629","1397.886","1336.08"
"1","8","14","54","139","4","8.2","180.581","5.788","999.067","947.395"
"1","8","15","20","82","4","6.7","98.177","4.616","544.752","503.424"
"1","8","16","2","16","3.6","5.9","15.654","2.689","87.603","55.393"
"1","8","17","0","0","2.9","4.5","0","2.9","0","0"
"1","8","18","0","0","2","3","0","2","0","0"
"1","8","19","0","0","1.6","3","0","1.6","0","0"
"1","8","20","0","0","1.2","3","0","1.2","0","0"
"1","8","21","0","0","1","3.7","0","1","0","0"
"1","8","22","0","0","0.6","3.7","0","0.6","0","0"
"1","8","23","0","0","0.1","3","0","0.1","0","0"
"1","9","0","0","0","-0.4","2.2","0","-0.4","0","0"
"1","9","1","0","0","-0.9","1.5","0","-0.9","0","0"
"1","9","2","0","0","-1.4","0.7","0","-1.4","0","0"
"1","9","3","0","0","-2","0","0","-2","0","0"
"1","9","4","0","0","-2.2","0","0","-2.2","0","0"
"1","9","5","0","0","-2.2","0","0","-2.2","0","0"
"1","9","6","0","0","-2","0","0","-2","0","0"
"1","9","7","8","19","-0.7","0","20.973","-4.1","118.925","86.131"
"1","9","8","50","79","1.3","0.7","106.07","2.326","588.405","546.139"
"1","9","9","107","130","4","1.5","207.566","8.443","1130.8","1075.89"
"1","9","10","159","165","5.6","2.2","293.968","12.242","1582.128","1515.307"
"1","9","11","189","184","6.9","3","346.846","14.407","1852.138","1777.588"
"1","9","12","188","183","8","4.5","344.734","14.331","1841.429","1767.194"
"1","9","13","156","164","8.3","4.5","290.301","13.495","1553.6","1487.568"
"1","9","14","103","127","8","3.7","201.282","11.628","1081.156","1027.479"
"1","9","15","47","75","7.2","3","99.851","8.379","539.46","498.245"
"1","9","16","7","16","6.7","3","17.2","5.525","93.487","61.168"
"1","9","17","0","0","6","3","0","6","0","0"
"1","9","18","0","0","5.2","3","0","5.2","0","0"
"1","9","19","0","0","4.8","2.2","0","4.8","0","0"
"1","9","20","0","0","4.5","1.5","0","4.5","0","0"
"1","9","21","0","0","4.4","0.7","0","4.4","0","0"
"1","9","22","0","0","4.2","0","0","4.2","0","0"
"1","9","23","0","0","4.1","0","0","4.1","0","0"
"1","10","0","0","0","4","0","0","4","0","0"
"1","10","1","0","0","4.2","0","0","4.2","0","0"
"1","10","2","0","0","4.5","0","0","4.5","0","0"
"1","10","3","0","0","5","0","0","5","0","0"
"1","10","4","0","0","5.1","0","0","5.1","0","0"
"1","10","5","0","0","5.1","0","0","5.1","0","0"
"1","10","6","0","0","5","0","0","5","0","0"
"1","10","7","0","19","5.7","0.7","18.055","3.443","101.493","69.025"
"1","10","8","7","86","6.7","1.5","92.226","7.228","508.597","468.038"
"1","10","9","30","142","8","2.2","170.097","10.899","922.68","872.837"
"1","10","10","54","181","9","2.2","231.178","13.817","1239.213","1181.556"
"1","10","11","70","201","9.9","2.2","267.577","15.895","1421.897","1359.449"
"1","10","12","69","200","10.8","2.2","265.607","16.86","1405.291","1343.286"
"1","10","13","53","179","11","1.5","228.051","16.736","1206.5","1149.68"
"1","10","14","28","139","10.8","0.7","165.316","15.488","878.679","829.873"
"1","10","15","6","83","10.2","0","88.368","12.876","475.507","435.644"
"1","10","16","0","17","9.6","0","16.117","7.357","89.087","56.849"
"1","10","17","0","0","8.9","0","0","8.9","0","0"
"1","10","18","0","0","8","0","0","8","0","0"
"1","10","19","0","0","7.4","0","0","7.4","0","0"
"1","10","20","0","0","6.9","0","0","6.9","0","0"
"1","10","21","0","0","6.4","0","0","6.4","0","0"
"1","10","22","0","0","5.9","0","0","5.9","0","0"
"1","10","23","0","0","5.4","0","0","5.4","0","0"
"1","11","0","0","0","5","0","0","5","0","0"
"1","11","1","0","0","4.4","0","0","4.4","0","0"
"1","11","2","0","0","3.7","0","0","3.7","0","0"
"1","11","3","0","0","3","0","0","3","0","0"
"1","11","4","0","0","3","0","0","3","0","0"
"1","11","5","0","0","3.4","0","0","3.4","0","0"
"1","11","6","0","0","4.2","0","0","4.2","0","0"
"1","11","7","6","20","6","0.7","21.665","3.882","119.546","86.741"
"1","11","8","38","84","8.4","1.5","107.243","9.428","579.576","537.501"
"1","11","9","86","138","11.6","3","197.43","14.957","1046.672","993.843"
"1","11","10","131","176","13.2","3.7","287.767","18.595","1506.47","1441.733"
"1","11","11","157","196","14.4","3.7","337.326","21.118","1748.185","1676.664"
"1","11","12","157","195","15.2","3.7","336.096","22.001","1734.682","1663.549"
"1","11","13","129","175","15","3.7","285.099","20.653","1478.499","1414.525"
"1","11","14","84","136","14","4.5","193.776","17.123","1017.312","965.198"
"1","11","15","36","82","12.4","4.5","103.841","13.455","551.421","509.951"
"1","11","16","5","18","11.8","4.5","18.298","10.886","97.963","65.56"
"1","11","17","0","0","11.4","4.5","0","11.4","0","0"
"1","11","18","0","0","11.2","3.7","0","11.2","0","0"
"1","11","19","0","0","10.8","3.7","0","10.8","0","0"
"1","11","20","0","0","10.4","3.7","0","10.4","0","0"
"1","11","21","0","0","10","3.7","0","10","0","0"
"1","11","22","0","0","10","3","0","10","0","0"
"1","11","23","0","0","10.3","2.2","0","10.3","0","0"
"1","12","0","0","0","10.8","1.5","0","10.8","0","0"
"1","12","1","0","0","11","3","0","11","0","0"
"1","12","2","0","0","11.1","5.2","0","11.1","0","0"
"1","12","3","0","0","11.2","8.2","0","11.2","0","0"
"1","12","4","0","0","11.3","8.9","0","11.3","0","0"
"1","12","5","0","0","11.5","8.9","0","11.5","0","0"
"1","12","6","0","0","11.6","8.2","0","11.6","0","0"
"1","12","7","0","20","12.2","8.2","19.17","11.487","104.064","71.548"
"1","12","8","7","87","13","8.9","93.166","13.358","500.137","459.755"
"1","12","9","29","143","14","8.9","170.418","15.495","905.817","856.373"
"1","12","10","54","182","14.2","9.7","232.119","16.477","1229.531","1172.123"
"1","12","11","69","202","14.2","10.4","267.83","16.859","1417.152","1354.83"
"1","12","12","69","202","13.8","11.2","267.829","16.343","1420.455","1358.045"
"1","12","13","53","181","13.6","11.2","230.205","15.693","1223.753","1166.492"
"1","12","14","29","141","13.3","10.4","167.905","14.698","895.632","846.427"
"1","12","15","6","85","13","9.7","90.205","13.405","484.301","444.253"
"1","12","16","0","18","12.8","9.7","17.067","12.192","92.359","60.06"
"1","12","17","0","0","12.6","9.7","0","12.6","0","0"
"1","12","18","0","0","12.4","10.4","0","12.4","0","0"
"1","12","19","0","0","12.4","10.4","0","12.4","0","0"
"1","12","20","0","0","12.6","11.2","0","12.6","0","0"
"1","12","21","0","0","12.8","11.2","0","12.8","0","0"
"1","12","22","0","0","12.7","11.9","0","12.7","0","0"
"1","12","23","0","0","12.5","12.6","0","12.5","0","0"
"1","13","0","0","0","12.2","13.4","0","12.2","0","0"
"1","13","1","0","0","11.6","12.6","0","11.6","0","0"
"1","13","2","0","0","10.9","11.9","0","10.9","0","0"
"1","13","3","0","0","10","9.7","0","10","0","0"
"1","13","4","0","0","9.7","9.7","0","9.7","0","0"
"1","13","5","0","0","9.6","10.4","0","9.6","0","0"
"1","13","6","0","0","9.8","11.9","0","9.8","0","0"
"1","13","7","13","17","10","11.2","19.713","9.418","103.726","71.216"
"1","13","8","69","72","10.2","10.4","110.009","10.717","585.013","542.82"
"1","13","9","139","119","10.6","8.9","212.629","12.663","1134.272","1079.275"
"1","13","10","202","152","11","8.9","318.444","14.611","1694.637","1624.65"
"1","13","11","239","169","11.5","8.9","378.315","16.028","2004.832","1925.711"
"1","13","12","239","168","12","9.7","377.257","16.303","1996.75","1917.874"
"1","13","13","202","151","12.1","9.7","317.557","15.621","1682.349","1612.712"
"1","13","14","138","118","11.9","9.7","211.116","13.984","1119.776","1065.14"
"1","13","15","68","72","11.6","9.7","109.623","12.278","579.275","537.206"
"1","13","16","12","17","11.2","9.7","19.431","10.625","101.978","69.501"
"1","13","17","0","0","10.7","8.9","0","10.7","0","0"
"1","13","18","0","0","10","8.9","0","10","0","0"
"1","13","19","0","0","9.2","8.2","0","9.2","0","0"
"1","13","20","0","0","8.2","7.4","0","8.2","0","0"
"1","13","21","0","0","7","5.9","0","7","0","0"
"1","13","22","0","0","6","5.9","0","6","0","0"
"1","13","23","0","0","5","6.7","0","5","0","0"
"1","14","0","0","0","4","7.4","0","4","0","0"
"1","14","1","0","0","3.4","6.7","0","3.4","0","0"
"1","14","2","0","0","3.1","5.2","0","3.1","0","0"
"1","14","3","0","0","3","3.7","0","3","0","0"
"1","14","4","0","0","2.7","2.2","0","2.7","0","0"
"1","14","5","0","0","2.3","1.5","0","2.3","0","0"
"1","14","6","0","0","2","0","0","2","0","0"
"1","14","7","0","15","2.6","0","14.213","-0.895","81.373","49.278"
"1","14","8","0","69","3.6","0.7","68.729","3.181","386.781","348.75"
"1","14","9","6","120","5","1.5","123.291","6.7","682.81","638.474"
"1","14","10","20","153","5.9","1.5","166.469","9.172","911.884","862.296"
"1","14","11","29","170","6.7","0.7","199.85","12.214","1080.451","1026.791"
"1","14","12","29","170","7.4","0","199.848","15.151","1066.376","1013.063"
"1","14","13","20","153","7.8","0","166.439","14.211","891.639","842.528"
"1","14","14","6","120","7.9","0.7","123.156","10.667","670.37","626.31"
"1","14","15","0","69","7.8","2.2","68.484","8.027","377.442","339.601"
"1","14","16","0","15","7.5","2.2","14.211","6.035","79.003","46.952"
"1","14","17","0","0","7.1","1.5","0","7.1","0","0"
"1","14","18","0","0","6.4","0","0","6.4","0","0"
"1","14","19","0","0","5.9","0","0","5.9","0","0"
"1","14","20","0","0","5.5","0","0","5.5","0","0"
"1","14","21","0","0","5","0","0","5","0","0"
"1","14","22","0","0","4.6","0","0","4.6","0","0"
"1","14","23","0","0","4.2","0","0","4.2","0","0"
"1","15","0","0","0","3.8","0","0","3.8","0","0"
"1","15","1","0","0","4","0","0","4","0","0"
"1","15","2","0","0","4.4","0","0","4.4","0","0"
"1","15","3","0","0","5.2","0","0","5.2","0","0"
"1","15","4","0","0","5.6","0","0","5.6","0","0"
"1","15","5","0","0","5.9","0.7","0","5.9","0","0"
"1","15","6","0","0","6.2","1.5","0","6.2","0","0"
"1","15","7","0","9","6.7","1.5","8.516","4.621","47.628","16.154"
"1","15","8","0","40","7.2","0.7","37.944","5.658","211.28","176.73"
"1","15","9","0","72","7.8","0","68.646","7.233","379.64","341.754"
"1","15","10","6","94","8.3","0.7","94.356","9.325","516.789","476.056"
"1","15","11","10","104","8.9","2.2","107.524","10.109","586.917","544.683"
"1","15","12","10","104","9.4","3.7","107.528","10.444","586.081","543.865"
"1","15","13","6","94","9.8","3.7","94.35","10.543","514.011","473.337"
"1","15","14","0","73","10.2","3","69.614","10.361","379.768","341.88"
"1","15","15","0","40","10.6","1.5","37.942","9.755","207.541","173.063"
"1","15","16","0","9","10.6","1.5","8.515","8.712","46.79","15.33"
"1","15","17","0","0","10.5","1.5","0","10.5","0","0"
"1","15","18","0","0","10.2","1.5","0","10.2","0","0"
"1","15","19","0","0","10.3","1.5","0","10.3","0","0"
"1","15","20","0","0","10.6","2.2","0","10.6","0","0"
"1","15","21","0","0","11","3","0","11","0","0"
"1","15","22","0","0","11.2","3","0","11.2","0","0"
"1","15","23","0","0","11.4","3.7","0","11.4","0","0"
"1","16","0","0","0","11.6","3.7","0","11.6","0","0"
"1","16","1","0","0","11.8","3.7","0","11.8","0","0"
"1","16","2","0","0","11.9","3.7","0","11.9","0","0"
"1","16","3","0","0","12","3","0","12","0","0"
"1","16","4","0","0","12","3","0","12","0","0"
"1","16","5","0","0","12","3","0","12","0","0"
"1","16","6","0","0","12","3","0","12","0","0"
"1","16","7","3","22","11.8","3","22.132","10.572","119.644","86.837"
"1","16","8","27","89","11.4","2.2","108.145","12.409","579.182","537.115"
"1","16","9","67","146","11","1.5","195.495","15.102","1037.714","985.103"
"1","16","10","106","186","12","0.7","282.159","20.52","1465.495","1401.873"
"1","16","11","130","207","13.7","0.7","330.285","24.326","1687.389","1617.608"
"1","16","12","130","207","16","0","330.448","29.684","1645.886","1577.28"
"1","16","13","107","187","16.3","0","284.399","28.342","1424.102","1361.595"
"1","16","14","68","147","16","0","197.334","24.414","1003.885","952.096"
"1","16","15","28","91","15","0.7","110.529","17.589","578.459","536.408"
"1","16","16","4","23","14.2","2.2","23.356","13.254","124.512","91.614"
"1","16","17","0","0","13.2","3.7","0","13.2","0","0"
"1","16","18","0","0","12","5.9","0","12","0","0"
"1","16","19","0","0","11.5","6.7","0","11.5","0","0"
"1","16","20","0","0","11.2","5.9","0","11.2","0","0"
"1","16","21","0","0","11.2","5.2","0","11.2","0","0"
"1","16","22","0","0","10.9","5.2","0","10.9","0","0"
"1","16","23","0","0","10.7","5.2","0","10.7","0","0"
"1","17","0","0","0","10.4","5.2","0","10.4","0","0"
"1","17","1","0","0","10.2","5.2","0","10.2","0","0"
"1","17","2","0","0","10.1","4.5","0","10.1","0","0"
"1","17","3","0","0","10","3.7","0","10","0","0"
"1","17","4","0","0","9.9","3","0","9.9","0","0"
"1","17","5","0","0","9.7","3","0","9.7","0","0"
"1","17","6","0","0","9.6","2.2","0","9.6","0","0"
"1","17","7","9","21","10.3","2.2","23.427","8.981","125.612","92.693"
"1","17","8","51","83","11.3","2.2","110.339","12.371","586.295","544.075"
"1","17","9","108","135","12.8","2.2","213.561","16.959","1120.838","1066.177"
"1","17","10","161","172","13.4","3","304.013","19.633","1583.311","1516.457"
"1","17","11","192","192","13.8","3.7","359.862","21.061","1865.217","1790.28"
"1","17","12","193","192","14","4.5","360.96","20.736","1873.794","1798.604"
"1","17","13","162","173","13.9","4.5","306.675","19.511","1598.387","1531.113"
"1","17","14","110","137","13.6","3.7","217.79","17.661","1139.917","1084.779"
"1","17","15","52","85","13","3","113.022","14.602","595.104","552.693"
"1","17","16","10","23","12.7","3","26.01","11.87","137.732","104.585"
"1","17","17","0","0","12.3","3.7","0","12.3","0","0"
"1","17","18","0","0","12","4.5","0","12","0","0"
"1","17","19","0","0","12","5.9","0","12","0","0"
"1","17","20","0","0","12.2","8.9","0","12.2","0","0"
"1","17","21","0","0","12.6","11.9","0","12.6","0","0"
"1","17","22","0","0","12.1","11.9","0","12.1","0","0"
"1","17","23","0","0","11.2","10.4","0","11.2","0","0"
"1","18","0","0","0","10","8.2","0","10","0","0"
"1","18","1","0","0","9.7","7.4","0","9.7","0","0"
"1","18","2","0","0","9.7","6.7","0","9.7","0","0"
"1","18","3","0","0","10","6.7","0","10","0","0"
"1","18","4","0","0","9.6","5.9","0","9.6","0","0"
"1","18","5","0","0","9.1","5.9","0","9.1","0","0"
"1","18","6","0","0","8.4","5.2","0","8.4","0","0"
"1","18","7","9","21","8.7","5.9","23.382","7.865","125.976","93.05"
"1","18","8","50","84","9.4","7.4","110.995","10.047","596.158","553.724"
"1","18","9","107","136","10.6","8.9","214.105","12.684","1145.645","1090.363"
"1","18","10","160","174","10.9","8.9","305.747","14.336","1631.194","1563.002"
"1","18","11","192","193","11.1","8.2","361.237","15.619","1919.478","1842.929"
"1","18","12","192","194","11","6.7","362.806","16.25","1922.474","1845.836"
"1","18","13","162","175","10.8","6.7","309.246","15.165","1644.088","1575.533"
"1","18","14","110","138","10.5","6.7","219.04","13.309","1169.336","1113.458"
"1","18","15","53","86","10","6.7","114.508","10.972","612.779","569.984"
"1","18","16","10","24","9.1","5.9","27.208","8.457","146.408","113.098"
"1","18","17","0","0","8","5.2","0","8","0","0"
"1","18","18","0","0","6.6","3.7","0","6.6","0","0"
"1","18","19","0","0","6.7","3","0","6.7","0","0"
"1","18","20","0","0","7.3","3","0","7.3","0","0"
"1","18","21","0","0","8.6","3","0","8.6","0","0"
"1","18","22","0","0","8.4","2.2","0","8.4","0","0"
"1","18","23","0","0","7.8","1.5","0","7.8","0","0"
"1","19","0","0","0","6.8","0","0","6.8","0","0"
"1","19","1","0","0","6.6","0","0","6.6","0","0"
"1","19","2","0","0","6.6","0","0","6.6","0","0"
"1","19","3","0","0","6.8","0","0","6.8","0","0"
"1","19","4","0","0","7.1","0.7","0","7.1","0","0"
"1","19","5","0","0","7.5","1.5","0","7.5","0","0"
